"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.87794673385263/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x52339900b4464d0585cdcd1edae7135338925d39664c8d60511b86f0ce6bd036","55335242","1712003867","2024-04-01 20:37:47","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.02072878","0.0181987646977497","0.95","","","Mint With Token URI"
"0x9fa0bedbd993926b92bcf3293c6afc7a0877c4fd537f77a9aa70af5614a9a4d4","55336872","1712007403","2024-04-01 21:36:43","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.019997176","0.0175564553554762","0.95","","","Mint With Token URI"
"0xdc673017c7f1a4d4c7390d63b01360d428b1d3ea198256a6eaf1b2478c2a3cf5","55341539","1712017587","2024-04-02 00:26:27","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.015626752","0.0137194558791251","0.90","","","Mint With Token URI"
"0xa9be1e4187d1f9aa7649f5cf6def30892699a234d3c8cff235316593ac0ac101","55345898","1712027451","2024-04-02 03:10:51","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.08790048","0.0771719393200784","0.90","","","Mint With Token URI"
"0xaea24f4136871b7864820b5417be8d0c883968534ce2569eb3f89e36ea360e22","55347716","1712031512","2024-04-02 04:18:32","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.065192856","0.0572358549957248","0.90","","","Mint With Token URI"
"0x61a5afdcf7a2335ef2394dc4afa0f141bd26a6fcdeaccad041f7f3d606229c9d","55348618","1712033588","2024-04-02 04:53:08","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.028323488","0.0248665137809142","0.90","","","Mint With Token URI"
"0x8b91f569d5a35cff0920d5cbf3221ac2d424beff1e8be1e4985c8676e5250c20","55348701","1712033803","2024-04-02 04:56:43","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.030521","0.0267958122639161","0.90","","","Mint With Token URI"
"0x4e23554c48899e4d44288a28b9f02a7b92a495af8f4a2bc1fe3590a7e6d951a7","55350433","1712037805","2024-04-02 06:03:25","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.036381032","0.031940608218588","0.90","","","Mint With Token URI"
"0x8373bb0df2223e8805aa4191c0d2baf53c74b69275784c568974f330febc68a8","55354860","1712048211","2024-04-02 08:56:51","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.043217736","0.0379428701657052","0.90","","","Mint With Token URI"
"0xad2e9d9be0072fc1be0f1dd6241563c7086e4a3de6591e41199aa5892c346b13","55355432","1712049587","2024-04-02 09:19:47","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.022241352","0.0195267223448667","0.90","","","Safe Transfer"
